month_number,month_name,latitude,longitude,solar_radiation_database,start_year,end_year,global_horizontal_irradiation_kwh_m2_month,direct_normal_irradiation_kwh_m2_month,global_irradiation_optimum_angle_kwh_m2_month,diffuse_to_global_ratio,average_temperature_c
1,January,38.378332,-0.4419,PVGIS-SARAH3,2005,2023,80.807,144.426,142.746,0.326,12.353
2,February,38.378332,-0.4419,PVGIS-SARAH3,2005,2023,96.201,133.131,141.99,0.363,12.795
3,March,38.378332,-0.4419,PVGIS-SARAH3,2005,2023,141.06,157.569,175.101,0.371,14.479
4,April,38.378332,-0.4419,PVGIS-SARAH3,2005,2023,173.507,173.73,185.589,0.355,16.489
5,May,38.378332,-0.4419,PVGIS-SARAH3,2005,2023,212.989,204.308,204.579,0.33,19.684
6,June,38.378332,-0.4419,PVGIS-SARAH3,2005,2023,229.101,225.027,208.808,0.295,23.421
7,July,38.378332,-0.4419,PVGIS-SARAH3,2005,2023,235.711,239.961,219.584,0.276,26.174
8,August,38.378332,-0.4419,PVGIS-SARAH3,2005,2023,209.441,222.912,215.051,0.283,26.421
9,September,38.378332,-0.4419,PVGIS-SARAH3,2005,2023,157.097,172.058,184.859,0.333,23.889
10,October,38.378332,-0.4419,PVGIS-SARAH3,2005,2023,121.347,154.766,168.002,0.349,20.579
11,November,38.378332,-0.4419,PVGIS-SARAH3,2005,2023,82.463,126.594,134.588,0.375,16.026
12,December,38.378332,-0.4419,PVGIS-SARAH3,2005,2023,71.271,128.418,130.088,0.363,13.347
